,R1,R2,R3,R4,R5,R6,R7
3558,1,2,13,22,27,39,24
3557,4,5,9,13,19,22,32
3556,3,8,13,24,28,33,17
3555,15,18,25,27,29,36,14
3554,9,13,24,26,32,37,6
3553,5,9,20,29,35,38,15
3552,7,12,16,17,20,32,14
3551,7,14,15,24,25,29,37
3550,1,11,22,23,34,36,13
3549,1,17,20,21,32,39,31
3548,5,11,13,23,29,33,39
3547,4,6,7,10,14,29,27
3546,3,6,8,14,21,31,15
3545,7,11,16,24,28,33,32
3544,1,4,5,16,25,30,21
3543,11,13,14,15,30,36,16
3542,6,11,23,30,34,37,17
3541,1,2,15,25,31,33,4
3540,10,23,28,33,36,39,18
3539,7,11,14,23,30,33,37
3538,16,18,20,23,36,38,1
3537,2,10,11,15,20,38,18
3536,21,22,34,37,38,39,11
3535,3,9,12,21,22,30,16
3534,1,5,17,23,36,37,28
3533,3,11,13,20,28,33,24
3532,2,15,17,20,22,30,1
3531,7,17,26,27,31,32,4
3530,6,11,13,17,21,35,29
3529,6,12,18,19,27,28,36
3528,3,10,12,13,14,16,23
3527,2,3,15,18,19,22,6
3526,18,22,28,31,35,36,33
3525,6,9,13,14,19,30,7
3524,5,9,16,17,27,35,7
3523,1,2,11,12,20,39,7
3522,3,10,12,15,20,21,36
3521,5,13,24,27,32,37,9
3520,13,14,26,27,36,39,29
3519,12,23,24,30,37,38,18
3518,1,11,20,28,33,34,7
3517,1,3,7,15,23,33,13
3516,5,6,7,13,14,31,37
3515,7,8,20,24,32,39,11
3514,1,14,15,20,23,24,29
3513,6,11,16,24,35,37,36
3512,7,14,18,23,32,39,37
3511,4,12,16,17,28,32,9
3510,5,9,12,23,27,35,33
3509,1,22,31,34,36,37,8
3508,5,9,12,19,22,35,32
3507,6,9,13,14,32,37,26
3506,2,7,19,25,28,32,38
3505,2,6,8,27,33,37,21
3504,8,23,27,32,35,38,24
3503,8,12,18,26,36,37,17
3502,8,9,13,15,20,24,36
3501,4,11,16,22,33,34,24
3500,4,8,20,25,27,38,13
3499,9,13,25,34,37,39,12
3498,4,22,25,30,32,33,12
3497,2,3,19,22,34,39,30
3496,9,13,16,24,26,27,17
3495,1,8,12,27,32,38,30
3494,1,6,15,23,27,29,32
3493,6,7,14,27,30,36,11
3492,3,9,12,19,26,38,13
3491,8,10,14,18,19,38,22
3490,10,12,17,19,31,34,4
3489,17,19,24,27,28,38,37
3488,5,10,13,17,19,36,26
3487,4,7,12,16,28,37,19
3486,12,13,16,19,24,28,20
3485,7,9,14,15,22,23,27
3484,8,9,14,20,24,39,26
3483,7,11,14,18,36,39,33
3482,5,12,14,19,37,39,10
3481,3,8,32,33,35,37,17
3480,2,6,21,26,28,32,25
3479,4,16,17,20,30,37,5
3478,1,3,5,24,30,34,7
3477,10,11,12,13,31,39,9
3476,11,13,17,26,36,39,2
3475,10,11,13,16,30,38,14
3474,15,19,24,30,33,34,18
3473,10,22,27,33,34,36,21
3472,7,14,15,17,29,33,25
3471,1,5,11,19,26,33,14
3470,1,2,3,4,30,37,39
3469,2,19,21,27,28,29,22
3468,2,3,9,23,25,26,8
3467,1,17,18,21,23,36,38
3466,2,3,11,16,25,34,20
3465,3,9,11,21,22,35,30
3464,17,20,21,22,23,29,34
3463,2,6,11,19,31,35,5
3462,3,6,21,28,30,36,7
3461,1,4,9,23,25,30,21
3460,9,12,15,17,29,38,39
3459,1,14,17,23,26,35,39
3458,3,16,18,25,26,32,33
3457,1,9,11,18,32,37,25
3456,8,18,19,22,35,38,3
3455,3,11,16,18,20,23,22
3454,4,20,22,28,31,37,32
3453,3,15,17,18,20,36,11
3452,6,17,29,32,33,38,21
3451,3,8,12,24,27,32,11
3450,1,8,10,14,15,34,39
3449,13,16,27,36,37,39,31
3448,13,15,16,22,37,38,1
3447,1,8,10,22,29,36,38
3446,6,8,9,11,25,29,3
3445,1,6,7,23,25,35,37
3444,1,6,10,13,28,30,24
3443,2,6,13,14,32,33,11
3442,1,6,27,28,31,32,18
3441,7,13,21,29,30,34,11
3440,1,4,25,27,37,39,11
3439,3,8,14,19,32,35,22
3438,5,22,27,31,33,39,11
3437,3,6,30,36,37,38,11
3436,16,18,20,29,30,35,1
3435,1,10,19,25,32,33,26
3434,1,4,12,14,24,29,26
3433,1,2,13,19,29,38,6
3432,4,13,20,21,24,29,36
3431,2,6,8,9,10,14,32
